"","time","S","I","R","Date","A","Rm","total_infected"
"226",226,7605.48039272161,2.1429247689616,33984.3766825095,2021-11-15,NA,NA,33986.5196072784
"227",227,7605.4061923093,2.03823774227848,33984.5555699484,2021-11-16,NA,NA,33986.5938076907
"228",228,7605.33561744917,1.93866427361248,33984.7257182772,2021-11-17,NA,NA,33986.6643825509
"229",229,7605.26849098177,1.8439546477863,33984.8875543705,2021-11-18,NA,NA,33986.7315090183
"230",230,7605.20464440529,1.75387133824554,33985.0414842565,2021-11-19,NA,NA,33986.7953555947
"231",231,7605.14391745232,1.66818841269841,33985.187894135,2021-11-20,NA,NA,33986.8560825477
"232",232,7605.08615768745,1.58669096768445,33985.3271513449,2021-11-21,NA,NA,33986.9138423126
"233",233,7605.03122012438,1.50917459066927,33985.459605285,2021-11-22,NA,NA,33986.9687798756
"234",234,7604.97896686191,1.43544484833009,33985.5855882898,2021-11-23,NA,NA,33987.0210331381
"235",235,7604.92926673762,1.36531679976099,33985.7054164626,2021-11-24,NA,NA,33987.0707332624
"236",236,7604.88199499854,1.29861453338817,33985.8193904681,2021-11-25,NA,NA,33987.1180050015
"237",237,7604.83703298786,1.23517072644387,33985.9277962857,2021-11-26,NA,NA,33987.1629670122
"238",238,7604.79426784705,1.17482622590314,33986.0309059271,2021-11-27,NA,NA,33987.205732153
"239",239,7604.75359223243,1.11742964984059,33986.1289781178,2021-11-28,NA,NA,33987.2464077676
"240",240,7604.71490404568,1.06283700821473,33986.2222589461,2021-11-29,NA,NA,33987.2850959543
"241",241,7604.6781061775,1.01091134213531,33986.3109824804,2021-11-30,NA,NA,33987.3218938225
"242",242,7604.64310626377,0.961522380715056,33986.3953713555,2021-12-01,NA,NA,33987.3568937363
"243",243,7604.60981645369,0.914546214650324,33986.4756373317,2021-12-02,NA,NA,33987.3901835463
"244",244,7604.57815318919,0.869864985717028,33986.5519818251,2021-12-03,NA,NA,33987.4218468108
"245",245,7604.54803699514,0.827366591407274,33986.6245964135,2021-12-04,NA,NA,33987.4519630049
"246",246,7604.51939227988,0.786944403969881,33986.6936633162,2021-12-05,NA,NA,33987.4806077202
"247",247,7604.49214714536,0.748497003153607,33986.7593558515,2021-12-06,NA,NA,33987.5078528547
"248",248,7604.46623320673,0.711927921985947,33986.8218388713,2021-12-07,NA,NA,33987.5337667933
"249",249,7604.44158542059,0.677145404952705,33986.8812691745,2021-12-08,NA,NA,33987.5584145794
"250",250,7604.41814192174,0.644062177974405,33986.9377959003,2021-12-09,NA,NA,33987.5818580783
"251",251,7604.39584386789,0.612595229604873,33986.9915609025,2021-12-10,NA,NA,33987.6041561321
"252",252,7604.37463529188,0.582665602905285,33987.0426991052,2021-12-11,NA,NA,33987.6253647081
"253",253,7604.35446296127,0.554198197473498,33987.0913388413,2021-12-12,NA,NA,33987.6455370388
"254",254,7604.33527624462,0.527121581133789,33987.1376021743,2021-12-13,NA,NA,33987.6647237554
"255",255,7604.31702698448,0.501367810816162,33987.1816052047,2021-12-14,NA,NA,33987.6829730156
"256",256,7604.29966937642,0.476872262177292,33987.2234583614,2021-12-15,NA,NA,33987.7003306236
"257",257,7604.2831598541,0.453573467536948,33987.2632666784,2021-12-16,NA,NA,33987.7168401459
"258",258,7604.2674569799,0.431412961724487,33987.3011300584,2021-12-17,NA,NA,33987.7325430201
"259",259,7604.25252134088,0.410335135449696,33987.3371435237,2021-12-18,NA,NA,33987.7474786592
"260",260,7604.23831544989,0.390287095831089,33987.3713974543,2021-12-19,NA,NA,33987.7616845501
"261",261,7604.22480365142,0.371218533732565,33987.4039778149,2021-12-20,NA,NA,33987.7751963486
"262",262,7604.21195203214,0.35308159757638,33987.4349663703,2021-12-21,NA,NA,33987.7880479679
"263",263,7604.19972833574,0.335830773316509,33987.464440891,2021-12-22,NA,NA,33987.8002716643
"264",264,7604.188101882,0.3194227702719,33987.4924753478,2021-12-23,NA,NA,33987.811898118
"265",265,7604.17704348974,0.303816412533722,33987.5191400978,2021-12-24,NA,NA,33987.8229565103
"266",266,7604.16652540359,0.288972535674673,33987.5445020608,2021-12-25,NA,NA,33987.8334745964
"267",267,7604.15652122434,0.274853888501635,33987.5686248872,2021-12-26,NA,NA,33987.8434787757
"268",268,7604.14700584265,0.26142503960558,33987.5915691178,2021-12-27,NA,NA,33987.8529941574
"269",269,7604.13795537602,0.248652288474632,33987.6133923355,2021-12-28,NA,NA,33987.862044624
"270",270,7604.12934710887,0.236503580947585,33987.6341493102,2021-12-29,NA,NA,33987.8706528912
"271",271,7604.12115943551,0.224948428796047,33987.6538921357,2021-12-30,NA,NA,33987.8788405645
"272",272,7604.11337180591,0.213957833233708,33987.6726703609,2021-12-31,NA,NA,33987.8866281941
